timestamp,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,day,EMA_Sunlight,TimeOfDay,AdjustedHumidity
0,1111.75,1.5,10.5,-2.0,4500.0,95.0,0,4500.0,0.0,93.0
100,1111.75,1.5,10.5,-2.0,4500.0356,94.99599,0,4500.00356,0.0001,92.99599
200,1109.75,1.5,10.5,-2.0,4500.07,94.99198,0,4500.010204,0.0002,92.99198
300,1109.25,1.5,10.5,-2.0,4500.1016,94.98797,0,4500.0193436,0.0003,92.98797
400,1110.75,1.5,10.5,-2.0,4500.1313,94.98395,0,4500.0305392400005,0.0004,92.98395
500,1110.75,1.5,10.5,-2.0,4500.159,94.979935,0,4500.043385316,0.0005,92.979935
600,1110.25,1.5,10.5,-2.0,4500.185,94.975914,0,4500.0575467844,0.0006,92.975914
700,1110.25,1.5,10.5,-2.0,4500.209,94.97189,0,4500.0726921059595,0.0007,92.97189
800,1110.0,1.5,10.5,-2.0,4500.2305,94.96787,0,4500.088472895363,0.0008,92.96787
900,1111.75,1.5,10.5,-2.0,4500.2505,94.963844,0,4500.104675605827,0.0009,92.963844
1000,1113.25,1.5,10.5,-2.0,4500.268,94.959816,0,4500.121008045244,0.001,92.959816
1100,1113.0,1.5,10.5,-2.0,4500.2837,94.95579,0,4500.137277240719,0.0011,92.95579
1200,1114.25,1.5,10.5,-2.0,4500.2974,94.95176,0,4500.153289516647,0.0012,92.95176
1300,1110.75,1.5,10.5,-2.0,4500.309,94.94773,0,4500.168860564982,0.0013,92.94773
1400,1110.25,1.5,10.5,-2.0,4500.319,94.943695,0,4500.183874508484,0.0014,92.943695
1500,1111.25,1.5,10.5,-2.0,4500.3267,94.93966,0,4500.198157057635,0.0015,92.93966
1600,1111.25,1.5,10.5,-2.0,4500.3325,94.93562,0,4500.211591351872,0.0016,92.93562
1700,1112.75,1.5,10.5,-2.0,4500.3364,94.93159,0,4500.224072216684,0.0017,92.93159
1800,1111.75,1.5,10.5,-2.0,4500.338,94.92754,0,4500.235464995016,0.0018,92.92754
1900,1112.75,1.5,10.5,-2.0,4500.338,94.9235,0,4500.245718495514,0.0019,92.9235
2000,1113.0,1.5,10.5,-2.0,4500.3354,94.91946,0,4500.2546866459625,0.002,92.91946
2100,1113.0,1.5,10.5,-2.0,4500.3315,94.91541,0,4500.262367981366,0.0021,92.91541
2200,1111.75,1.5,10.5,-2.0,4500.325,94.91136,0,4500.268631183229,0.0022,92.91136
2300,1112.25,1.5,10.5,-2.0,4500.317,94.90731,0,4500.273468064906,0.0023,92.90731
2400,1110.75,1.5,10.5,-2.0,4500.3066,94.90326,0,4500.276781258416,0.0024,92.90326
2500,1111.25,1.5,10.5,-2.0,4500.295,94.89921,0,4500.278603132574,0.0025,92.89921
2600,1111.75,1.5,10.5,-2.0,4500.281,94.89516,0,4500.278842819316,0.0026,92.89516
2700,1112.25,1.5,10.5,-2.0,4500.2646,94.8911,0,4500.277418537385,0.0027,92.8911
2800,1113.25,1.5,10.5,-2.0,4500.2466,94.88704,0,4500.274336683646,0.0028,92.88704
2900,1113.25,1.5,10.5,-2.0,4500.226,94.88298,0,4500.269503015281,0.0029,92.88298
3000,1113.25,1.5,10.5,-2.0,4500.204,94.87892,0,4500.262952713753,0.003,92.87892
3100,1113.25,1.5,10.5,-2.0,4500.18,94.87486,0,4500.254657442378,0.0031,92.87486
3200,1114.25,1.5,10.5,-2.0,4500.1543,94.8708,0,4500.24462169814,0.0032,92.8708
3300,1114.25,1.5,10.5,-2.0,4500.1265,94.86673,0,4500.232809528326,0.0033,92.86673
3400,1114.0,1.5,10.5,-2.0,4500.0967,94.86266,0,4500.2191985754935,0.0034,92.86266
3500,1114.25,1.5,10.5,-2.0,4500.0645,94.8586,0,4500.203728717945,0.0035,92.8586
3600,1114.25,1.5,10.5,-2.0,4500.031,94.85452,0,4500.18645584615,0.0036,92.85452
3700,1114.0,1.5,10.5,-2.0,4499.995,94.85045,0,4500.167310261535,0.0037,92.85045
3800,1115.75,1.5,10.5,-2.0,4499.957,94.84638,0,4500.146279235381,0.0038,92.84638
3900,1115.75,1.5,10.5,-2.0,4499.9175,94.8423,0,4500.123401311843,0.0039,92.8423
4000,1114.25,1.5,10.5,-2.0,4499.876,94.83823,0,4500.098661180658,0.004,92.83823
4100,1114.25,1.5,10.5,-2.0,4499.832,94.83415,0,4500.071995062593,0.0041,92.83415
4200,1114.5,1.5,10.5,-2.0,4499.7866,94.83007,0,4500.043455556333,0.0042,92.83007
4300,1114.75,1.5,10.5,-2.0,4499.7393,94.82599,0,4500.0130400007,0.0043,92.82599
4400,1114.5,1.5,10.5,-2.0,4499.6895,94.82191,0,4499.98068600063,0.0044,92.82191
4500,1115.75,1.5,10.5,-2.0,4499.638,94.817825,0,4499.946417400567,0.0045,92.817825
4600,1114.75,1.5,10.5,-2.0,4499.5845,94.813736,0,4499.91022566051,0.0046,92.813736
4700,1115.75,1.5,10.5,-2.0,4499.5293,94.809654,0,4499.872133094459,0.0047,92.809654
4800,1114.75,1.5,10.5,-2.0,4499.472,94.805565,0,4499.832119785013,0.0048,92.805565
4900,1116.75,1.5,10.5,-2.0,4499.413,94.801476,0,4499.790207806512,0.0049,92.801476
5000,1116.75,1.5,10.5,-2.0,4499.3516,94.797386,0,4499.746347025861,0.005,92.797386
5100,1114.75,1.5,10.5,-2.0,4499.2886,94.7933,0,4499.700572323274,0.0051,92.7933
5200,1115.25,1.5,10.5,-2.0,4499.2236,94.7892,0,4499.652875090947,0.0052,92.7892
5300,1116.75,1.5,10.5,-2.0,4499.1567,94.78511,0,4499.603257581853,0.0053,92.78511
5400,1116.25,1.5,10.5,-2.0,4499.088,94.78101,0,4499.551731823667,0.0054,92.78101
5500,1115.75,1.5,10.5,-2.0,4499.017,94.77692,0,4499.498258641301,0.0055,92.77692
5600,1114.75,1.5,10.5,-2.0,4498.9443,94.77282,0,4499.44286277717,0.0056,92.77282
5700,1115.75,1.5,10.5,-2.0,4498.8696,94.768715,0,4499.385536499453,0.0057,92.768715
5800,1115.5,1.5,10.5,-2.0,4498.793,94.76462,0,4499.326282849508,0.0058,92.76462
5900,1114.75,1.5,10.5,-2.0,4498.7144,94.76051,0,4499.265094564557,0.0059,92.76051
6000,1113.75,1.5,10.5,-2.0,4498.634,94.75641,0,4499.201985108101,0.006,92.75641
6100,1114.75,1.5,10.5,-2.0,4498.5513,94.752304,0,4499.136916597291,0.0061,92.752304
6200,1117.25,1.5,10.5,-2.0,4498.467,94.7482,0,4499.069924937562,0.0062,92.7482
6300,1117.25,1.5,10.5,-2.0,4498.381,94.744095,0,4499.001032443806,0.0063,92.744095
6400,1116.25,1.5,10.5,-2.0,4498.2925,94.73998,0,4498.930179199426,0.0064,92.73998
6500,1116.5,1.5,10.5,-2.0,4498.2026,94.73588,0,4498.857421279483,0.0065,92.73588
