Action,Price,Bankroll,Type,Predicted_Next_Price
Buy,1.4072892214052952,99998.5927107786,Entry,1.282488362756016
Sell,1.4416532825074522,100000.03436406111,Exit,1.335230821224491
Buy,1.4244712519563738,99998.60989280915,Entry,1.335230821224491
Sell,1.4931993741606877,100000.10309218332,Exit,1.3678162516826353
Buy,1.1323767325880396,99998.97071545073,Entry,1.148625564932551
Sell,1.0464665798326473,100000.01718203057,Exit,1.051319310061899
Buy,1.0808306409348043,99998.93635138964,Entry,1.0972162549819167
Sell,1.0464665798326473,99999.98281796947,Exit,1.051319310061899
Buy,1.0121025187304904,99998.97071545075,Entry,1.051319310061899
Sell,1.0464665798326473,100000.01718203058,Exit,1.051319310061899
Buy,1.0292845492815688,99998.9878974813,Entry,1.051319310061899
Sell,1.0464665798326473,100000.03436406114,Exit,1.051319310061899
Buy,1.0121025187304904,99999.02226154241,Entry,1.051319310061899
Sell,0.891828304872941,99999.91408984728,Exit,1.035438936941309
Buy,0.891828304872941,99999.02226154241,Entry,1.035438936941309
Sell,1.0636486103837257,100000.0859101528,Exit,1.0915329123505082
Buy,1.0980126714858827,99998.98789748132,Entry,1.0915329123505082
Sell,0.9949204881794118,99999.9828179695,Exit,1.0456359674304903
Buy,0.9433743965261764,99999.03944357298,Entry,1.038788660746693
Sell,1.0292845492815688,100000.06872812226,Exit,1.0456359674304903
Buy,1.0292845492815688,99999.03944357298,Entry,1.0456359674304903
Sell,1.106603686761422,100000.14604725974,Exit,1.0915329123505082
Buy,1.1667407936901966,99998.97930646605,Entry,1.148625564932551
Sell,1.1495587631391182,100000.12886522918,Exit,1.148625564932551
Buy,1.1323767325880396,99998.9964884966,Entry,1.148625564932551
Sell,1.0808306409348043,100000.07731913753,Exit,1.0915329123505082
Buy,1.0636486103837257,99999.01367052714,Entry,1.0915329123505082
Sell,1.0121025187304904,100000.02577304587,Exit,1.0456359674304903
Buy,1.0121025187304904,99999.01367052714,Entry,1.0456359674304903
Sell,0.9090103354240194,99999.92268086257,Exit,1.035438936941309
Buy,0.9433743965261764,99998.97930646605,Entry,1.038788660746693
Sell,1.1839228242412752,100000.1632292903,Exit,1.148625564932551
Buy,1.1323767325880396,99999.03085255771,Entry,1.148625564932551
Sell,1.0980126714858827,100000.1288652292,Exit,1.0915329123505082
Buy,1.1495587631391182,99998.97930646606,Entry,1.148625564932551
Sell,1.2011048547923535,100000.18041132085,Exit,1.1721345037123991
Buy,1.2011048547923535,99998.97930646606,Entry,1.1721345037123991
Sell,1.1925138395168142,100000.17182030558,Exit,1.148625564932551
Buy,1.0292845492815688,99999.1425357563,Entry,1.0456359674304903
Sell,1.1151947020369612,100000.25773045834,Exit,1.0915329123505082
Buy,1.1495587631391182,99999.1081716952,Entry,1.148625564932551
Sell,1.1151947020369612,100000.22336639724,Exit,1.0915329123505082
Buy,1.0808306409348043,99999.14253575631,Entry,1.0915329123505082
Sell,1.0464665798326473,100000.18900233615,Exit,1.0456359674304903
Buy,1.0636486103837257,99999.12535372576,Entry,1.0915329123505082
Sell,1.0464665798326473,100000.1718203056,Exit,1.0456359674304903
Buy,1.0292845492815688,99999.14253575631,Entry,1.0456359674304903
Sell,1.0292845492815688,100000.1718203056,Exit,1.0456359674304903
Buy,1.0121025187304904,99999.15971778687,Entry,1.0456359674304903
Sell,1.0292845492815688,100000.18900233615,Exit,1.0456359674304903
Buy,1.037875564557108,99999.1511267716,Entry,1.0456359674304903
Sell,0.7887361215664701,99999.93986289317,Exit,1.0263312273677583
Buy,0.8231001826686271,99999.1167627105,Entry,1.0294751181544533
Sell,0.9949204881794118,100000.11168319869,Exit,1.0633583597060623
Buy,0.9863294729038726,99999.12535372579,Entry,1.0570516603074755
Sell,0.7028259688110777,99999.8281796946,Exit,0.9814307238608136
Buy,0.7114169840866169,99999.1167627105,Entry,0.9814307238608136
Sell,0.5825517549535283,99999.69931446546,Exit,0.9303014123976836
Buy,0.5138236327492144,99999.18549083271,Entry,0.8582578825683337
Sell,0.5481876938513713,99999.73367852657,Exit,0.9051951684617439
Buy,0.5653697244024498,99999.16830880217,Entry,0.9051951684617439
Sell,0.2904572355851942,99999.45876603776,Exit,0.6122383726205403
Buy,0.29904825086073344,99999.1597177869,Entry,0.6122383726205403
Sell,0.39354941889166506,99999.55326720579,Exit,0.7463650145786961
Buy,0.427913479993822,99999.1253537258,Entry,0.79674262476115
Sell,0.3763673883405866,99999.50172111414,Exit,0.6933119882767099
Buy,0.41073144944274353,99999.09098966469,Entry,0.7890856373775893
Sell,0.22172911338088028,99999.31271877808,Exit,0.42597078349741707
Buy,0.18736505227872333,99999.1253537258,Entry,0.42032145341755994
Sell,0.2045470828298018,99999.32990080863,Exit,0.42555012587814345
Buy,0.21313809810534104,99999.11676271053,Entry,0.42555012587814345
Sell,1.0292845492815688,100000.14604725981,Exit,1.0759252253941969
Buy,1.0636486103837257,99999.08239864942,Entry,1.121822170314215
Sell,1.0464665798326473,100000.12886522926,Exit,1.1131158056790351
Buy,1.0464665798326473,99999.08239864942,Entry,1.1131158056790351
Sell,1.2698329769966674,100000.35223162641,Exit,1.2229637678451166
